date,stock_id,link,source,title,sentiment_score
2021-01-03 08:00:00,50,https://money.udn.com/money/story/5607/5144163,經濟日報,0050勇奪2020年ETF吸金王 2021三趨勢最火 - 經濟日報,0.0
2021-01-07 08:00:00,50,https://money.udn.com/money/story/5618/5155938?from=edn_referralnews_story_ch5592,經濟日報,拚火速填息！0050將於22日除息3.05元殖利率2.36% | 基金天地| 理財 - 經濟日報,0.0
2021-01-07 08:00:00,50,https://money.udn.com/money/story/5618/5155938,經濟日報,拚火速填息！0050將於22日除息3.05元 殖利率2.36% - 經濟日報,0.1
2021-01-13 08:00:00,50,https://money.udn.com/money/story/5618/5171748,經濟日報,0056晉升第三大ETF！與0050、00632R包辦前三強 - 經濟日報,0.0
2021-01-15 08:00:00,50,https://udn.com/news/story/7251/5176455,經濟日報,0050總報酬率衝上543% 22日將除息3.05元 - 經濟日報,0.0
2021-01-17 08:00:00,50,https://ctee.com.tw/news/fund/403149.html,工商時報,長抱0050 小資族也能配息、價差兩頭賺 - 工商時報,0.0
2021-01-18 08:00:00,50,https://ctee.com.tw/wealth/tutor/404247.html,工商時報,進場前猶豫了？你可能不懂0050迷人之處 - 工商時報,0.0
2021-01-20 08:00:00,50,https://ctee.com.tw/wealth/tutor/405770.html,工商時報,買了0050之後呢？一動作為投組加分 - 工商時報,0.0
2021-01-22 08:00:00,50,https://news.cnyes.com/news/id/4562560,Anue鉅亨,0050除息首日貼息平均完成填息約28天| Anue鉅亨- 台股新聞 - Anue鉅亨,0.0
2021-01-22 08:00:00,50,https://news.cnyes.com/news/id/4562560,Anue鉅亨,0050除息首日貼息 平均完成填息約28天 - Anue鉅亨,0.0
2021-02-03 08:00:00,50,https://money.udn.com/money/story/5618/5229157?from=edn_referralnews_story_ch5592,經濟日報,債券版「小0050」來了！中信ESG債券ETF明掛牌| 基金天地| 理財 - 經濟日報,0.0
2021-02-03 08:00:00,50,https://money.udn.com/money/story/5618/5229157?from=edn_referralnews_story_ch5592,經濟日報,債券版「小0050」來了！中信ESG債券ETF明掛牌 - 經濟日報,0.0
2021-02-07 08:00:00,50,https://ctee.com.tw/news/stock/415214.html,工商時報,小資族買台積電、0050、0056？施昇輝：1關鍵判斷 - 工商時報,0.0
2021-02-08 08:00:00,50,https://money.udn.com/money/story/5618/5241986,經濟日報,0050連結基金暴漲80% 2月起申購享零手續費| 基金天地| 理財 - 經濟日報,0.0
2021-02-08 08:00:00,50,https://money.udn.com/money/story/5618/5241986,經濟日報,0050連結基金暴漲80% 2月起申購享零手續費 - 經濟日報,0.0
2021-02-08 10:13:28,50,https://money.udn.com/money/story/5618/5241986,經濟日報,0050連結基金暴漲80% 2月起申購享零手續費 - 經濟日報,0.0
2021-02-08 10:13:28,50,https://money.udn.com/money/story/5618/5241986,經濟日報,0050連結基金暴漲80% 2月起申購享零手續費| 基金天地| 理財 - 經濟日報,0.0
2021-02-09 08:00:00,50,https://tw.stock.yahoo.com/news/%E9%80%80%E4%BC%91%E9%87%91%E8%B2%B7%E5%93%AA%E5%80%8Bet-f%E5%A5%BD-0056-%E5%B0%8D%E6%B1%BA-0050-%E9%80%99%E6%AA%94%E6%8A%B1%E4%B8%89%E5%B9%B4%E5%A4%9A-90-%E8%90%AC-032306842.html,Yahoo奇摩股市,退休金買哪個ETF好？0056對決0050：「這檔」抱三年多90萬！ - Yahoo奇摩股市,0.0
2021-02-16 08:00:00,50,https://ctee.com.tw/wealth/tutor/413806.html,工商時報,按表操課打贏心理戰0050大賺24%完勝 - 工商時報,0.0
2021-02-19 08:00:00,50,https://money.udn.com/money/story/5607/5261619,經濟日報,定期定額就愛買台股0050、0056人氣十倍速成長| 市場焦點| 證券 - 經濟日報,0.0
2021-02-19 08:00:00,50,https://money.udn.com/money/story/5607/5261619,經濟日報,定期定額就愛買台股 0050、0056人氣十倍速成長 - 經濟日報,0.0
2021-03-05 08:00:00,50,https://money.udn.com/money/story/5613/5297436?from=edn_search_tag_result,經濟日報,"2,000億元資金將調整！0050新增亞德客、南電| 金融脈動| 金融 - 經濟日報",0.3
2021-03-05 09:41:25,50,https://money.udn.com/money/story/5613/5297436,經濟日報,"2,000億元資金將調整！0050新增亞德客、南電 - 經濟日報",0.3
2021-03-05 22:06:24,50,https://money.udn.com/money/story/5607/5298355,經濟日報,0050、0056買誰好？從成分股、配息分析熱門ETF優缺點 - 經濟日報,0.0
2021-03-05 22:09:15,50,https://money.udn.com/money/story/5607/5298355,經濟日報,0050、0056買誰好？從成分股、配息分析熱門ETF優缺點 - 經濟日報,0.0
2021-03-05 22:09:15,50,https://money.udn.com/money/story/5607/5298355,經濟日報,0050、0056買誰好？從成分股、配息分析熱門ETF優缺點| 市場焦點| 證券| 經濟日報 - 經濟日報,0.0
2021-03-06 08:00:00,50,https://money.udn.com/money/story/5607/5298355,經濟日報,0050、0056買誰好？從成分股、配息分析熱門ETF優缺點| 市場焦點| 證券| 經濟日報 - 經濟日報,0.0
2021-03-06 08:00:00,50,https://money.udn.com/money/story/5607/5298355,經濟日報,0050、0056買誰好？從成分股、配息分析熱門ETF優缺點| 市場焦點| 證券 - 經濟日報,0.0
2021-03-06 08:00:00,50,https://money.udn.com/money/story/5607/5298355,經濟日報,0050、0056買誰好？從成分股、配息分析熱門ETF優缺點 - 經濟日報,0.0
2021-03-10 08:00:00,50,https://ctee.com.tw/wealth/tutor/427382.html,工商時報,0050、0056、00881該買哪檔?全解析(上) - 工商時報,0.0
2021-03-10 13:37:00,50,https://ctee.com.tw/wealth/tutor/427382.html,工商時報,0050、0056、00881該買哪檔?全解析(上) - 工商時報,0.0
2021-03-13 03:34:45,50,https://ctee.com.tw/news/real-estate/429258.html,工商時報,該買房還是0050？專家：小資族買房得考慮「三宅一生」 - 工商時報,0.0
2021-03-13 08:00:00,50,https://ctee.com.tw/news/real-estate/429258.html,工商時報,該買房還是0050？專家：小資族買房得考慮「三宅一生」 - 工商時報,0.0
2021-03-14 08:00:00,50,https://ctee.com.tw/wealth/tutor/429345.html,工商時報,0056VS.0050！買這檔ETF退休金多90萬 - 工商時報,0.0
2021-03-16 01:52:00,50,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB-0050%E4%B8%8D%E5%9C%A8%E6%A6%9C%E4%B8%8A-2020%E5%B9%B4%E8%BC%95%E4%BA%BA%E6%9C%80%E6%84%9B%E8%82%A1%E7%A5%A8%E5%87%BA%E7%88%90-%E7%AC%AC-%E5%90%8D%E6%98%AF-015200015.html,Yahoo奇摩股市,台積電、0050不在榜上！ 2020年輕人最愛股票出爐，第一名是「它」 - Yahoo奇摩股市,0.0
2021-03-16 07:00:00,50,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB-0050%E4%B8%8D%E5%9C%A8%E6%A6%9C%E4%B8%8A-2020%E5%B9%B4%E8%BC%95%E4%BA%BA%E6%9C%80%E6%84%9B%E8%82%A1%E7%A5%A8%E5%87%BA%E7%88%90-%E7%AC%AC-%E5%90%8D%E6%98%AF-015200015.html?bcmt=1,Yahoo奇摩股市,台積電、0050不在榜上！ 2020年輕人最愛股票出爐，第一名是「它」 - Yahoo奇摩股市,0.0
2021-03-18 05:22:21,50,https://money.udn.com/money/story/5607/5326755,經濟日報,0056創新高跑贏0050！法人高喊「還能買」 - 經濟日報,0.2
2021-03-18 05:25:46,50,https://money.udn.com/money/story/5607/5326755,經濟日報,0056創新高跑贏0050！法人高喊「還能買」 - 經濟日報,0.2
2021-03-18 07:00:00,50,https://money.udn.com/money/story/5607/5326755,經濟日報,0056創新高跑贏0050！法人高喊「還能買」 | 市場焦點| 證券| 經濟日報 - 經濟日報,0.2
2021-03-18 07:00:00,50,https://money.udn.com/money/story/5607/5326755,經濟日報,0056創新高跑贏0050！法人高喊「還能買」 | 市場焦點| 證券 - 經濟日報,0.2
2021-03-18 07:00:00,50,https://money.udn.com/money/story/5607/5326755,經濟日報,0056創新高跑贏0050！法人高喊「還能買」 - 經濟日報,0.3
2021-04-08 07:00:00,50,https://money.udn.com/money/story/12972/5374513,經濟日報,0050風險竟然比垃圾債還高？金管會要改規定| 投資理財| 會員專區| 經濟日報 - 經濟日報,0.0
2021-04-08 07:00:00,50,https://money.udn.com/money/story/12040/5374513,經濟日報,0050風險竟然比垃圾債還高？金管會要改規定| 個人理財| 理財| 經濟日報 - 經濟日報,0.0
2021-04-08 07:00:00,50,https://money.udn.com/money/story/12040/5374513,經濟日報,0050風險竟然比垃圾債還高？金管會要改規定| 個人理財| 理財 - 經濟日報,0.0
2021-04-08 08:00:28,50,https://money.udn.com/money/story/12040/5374513,經濟日報,0050風險竟然比垃圾債還高？金管會要改規定| 個人理財| 理財| 經濟日報 - 經濟日報,0.0
2021-04-08 08:00:28,50,https://money.udn.com/money/story/12972/5374513?from=edn_catenewest_story,經濟日報,0050風險竟然比垃圾債還高？金管會要改規定| 投資理財| 會員專區| 經濟日報 - 經濟日報,0.0
2021-04-08 08:05:05,50,https://money.udn.com/money/story/12040/5374513,經濟日報,0050風險竟然比垃圾債還高？金管會要改規定| 個人理財| 理財 - 經濟日報,0.0
2021-04-10 07:00:00,50,https://ctee.com.tw/wealth/tutor/443341.html,工商時報,存金融股風險比較小？分析0050、0055、玉山金、兆豐金數據告訴你是否誤會大了！ - 工商時報,0.0
2021-04-10 15:47:00,50,https://ctee.com.tw/wealth/tutor/443341.html,工商時報,存金融股風險比較小？分析0050、0055、玉山金、兆豐金數據告訴你是否誤會大了！ - 工商時報,0.0
2021-04-12 16:25:21,50,https://money.udn.com/money/story/5607/5383909,經濟日報,小資版0050 績效亮眼 - 經濟日報,0.0
2021-04-12 17:00:00,50,https://ctee.com.tw/news/stock/444096.html,工商時報,小資版0050 掛牌來漲逾4成 - 工商時報,0.0
2021-04-13 00:21:02,50,https://ctee.com.tw/news/stock/444288.html,工商時報,4/13盤前掃描》小資版0050 掛牌來漲4成 - 工商時報,0.2
2021-04-13 00:46:22,50,https://money.udn.com/money/story/5618/5384119?from=edn_catehotlist_story,經濟日報,小資版0050發威 020020掛牌以來漲幅近42% - 經濟日報,0.0
2021-04-13 07:00:00,50,https://money.udn.com/money/story/5618/5384119?from=edn_catenewest_story,經濟日報,小資版0050發威 020020掛牌以來漲幅近42% - 經濟日報,0.0
2021-04-13 07:00:00,50,https://money.udn.com/money/story/5607/5383909,經濟日報,小資版0050 績效亮眼 - 經濟日報,0.0
2021-04-13 07:00:00,50,https://ctee.com.tw/news/stock/444096.html,工商時報,小資版0050 掛牌來漲逾4成 - 工商時報,0.0
2021-04-16 03:58:05,50,https://ctee.com.tw/news/stock/446221.html,工商時報,小資族定期定額最愛0050、0056跟台積電 - 工商時報,0.0
2021-04-16 07:00:00,50,https://ctee.com.tw/news/stock/446221.html,工商時報,小資族定期定額最愛0050、0056跟台積電 - 工商時報,0.0
2021-04-18 01:01:03,50,https://tw.stock.yahoo.com/news/%E7%AC%AC%E4%B8%89%E4%BA%BA%E7%94%9F%E7%9A%84%E6%A8%82%E6%B4%BB%E6%8F%90%E6%A1%88-%E8%A9%B2%E8%BF%BD%E6%B1%82%E6%AF%940050%E6%9B%B4%E5%A5%BD%E7%9A%84etf%E5%97%8E-010103548.html,Yahoo奇摩股市,第三人生的樂活提案 該追求比0050更好的ETF嗎？ - Yahoo奇摩股市,0.0
2021-04-18 07:00:00,50,https://news.cnyes.com/news/id/4631194,Anue鉅亨,富邦越南挾台版0050氣勢漲幅、溢價飆9% 躍ETF成交之冠 - Anue鉅亨,0.2
2021-04-18 07:00:00,50,https://tw.stock.yahoo.com/news/%E7%86%B1%E9%96%80%E6%97%8F%E7%BE%A4-0050-0056-%E5%8F%B0%E7%A9%8D%E9%9B%BB-%E5%B0%8F%E8%B3%87%E6%97%8F%E9%8D%BE%E6%84%9B-233305176.html,Yahoo奇摩股市,《熱門族群》0050、0056、台積電 小資族鍾愛 - Yahoo奇摩股市,0.0
2021-04-18 07:00:00,50,https://tw.stock.yahoo.com/news/%E7%87%92%E8%85%A6%E9%A1%8C%EF%BC%9A-1-%E8%90%AC%E5%85%83%E7%9A%84-0050-%E8%88%87-1-%E8%90%AC%E5%85%83%E7%9A%84-0056-%E5%93%AA%E5%80%8B%E8%B2%B4%EF%BC%9F%E9%82%A3-1-%E5%85%AC%E6%96%A4%E7%9A%84%E9%90%B5%E8%88%87-1-%E5%85%AC%E6%96%A4%E7%9A%84%E6%A3%89%E8%8A%B1%E5%91%A2%EF%BC%9F-040853669.html,Yahoo奇摩股市,燒腦題：1萬元的0050與1萬元的0056哪個貴？那1公斤的鐵與1公斤的棉花呢？ - Yahoo奇摩股市,0.0
2021-04-18 17:00:00,50,https://ctee.com.tw/news/stock/447020.html,工商時報,0050、0056、台積電小資族鍾愛 - 工商時報,0.0
2021-04-19 03:24:51,50,https://news.cnyes.com/news/id/4631194,Anue鉅亨,富邦越南挾台版0050氣勢漲幅、溢價飆9% 躍ETF成交之冠 - Anue鉅亨,0.2
2021-04-19 04:08:53,50,https://tw.stock.yahoo.com/news/%E7%87%92%E8%85%A6%E9%A1%8C%EF%BC%9A-1-%E8%90%AC%E5%85%83%E7%9A%84-0050-%E8%88%87-1-%E8%90%AC%E5%85%83%E7%9A%84-0056-%E5%93%AA%E5%80%8B%E8%B2%B4%EF%BC%9F%E9%82%A3-1-%E5%85%AC%E6%96%A4%E7%9A%84%E9%90%B5%E8%88%87-1-%E5%85%AC%E6%96%A4%E7%9A%84%E6%A3%89%E8%8A%B1%E5%91%A2%EF%BC%9F-040853669.html,Yahoo奇摩股市,燒腦題：1萬元的0050與1萬元的0056哪個貴？那1公斤的鐵與1公斤的棉花呢？ - Yahoo奇摩股市,0.0
2021-04-19 07:00:00,50,https://tw.stock.yahoo.com/news/%E7%87%92%E8%85%A6%E9%A1%8C%EF%BC%9A-1-%E8%90%AC%E5%85%83%E7%9A%84-0050-%E8%88%87-1-%E8%90%AC%E5%85%83%E7%9A%84-0056-%E5%93%AA%E5%80%8B%E8%B2%B4%EF%BC%9F%E9%82%A3-1-%E5%85%AC%E6%96%A4%E7%9A%84%E9%90%B5%E8%88%87-1-%E5%85%AC%E6%96%A4%E7%9A%84%E6%A3%89%E8%8A%B1%E5%91%A2%EF%BC%9F-040853669.html,Yahoo奇摩股市,燒腦題：1萬元的0050與1萬元的0056哪個貴？那1公斤的鐵與1公斤的棉花呢？ - Yahoo奇摩股市,0.0
